Name,Price,Rating
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
HP ENVY Intel Core Ultra 7 155U - (16 GB/512 GB SSD/Windows 11 Home) 14-fc0106TU Thin and Light Laptop,"₹1,09,990",N/A
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home) NP940XGK-KG3 T...,"₹1,71,990",N/A
SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Th...,"₹65,990",4.4
Infinix INBook X2 Plus Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) XL25 Thin and...,"₹25,990",4.2
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,"₹37,480",4.2
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,"₹34,990",4.2
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,"₹27,990",4.3
HP ENVY AMD Ryzen 7 Octa Core 8840HS - (16 GB/512 GB SSD/Windows 11 Home) 14-fa0052AU Thin and Light L...,"₹96,990",N/A
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹73,990",4.7
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,"₹25,490",4.1
HP ENVY Intel Core Ultra 7 155U - (32 GB/1 TB SSD/Windows 11 Home) 14-fc0100TU Thin and Light Laptop,"₹1,34,990",N/A
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP960XGK-KG1...,"₹1,41,990",N/A
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹47,990",4.2
Lenovo V15 Series AMD Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light La...,"₹24,162",4.2
MSI GF63 Intel Core i5 11th Gen 11260H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹44,990",4.2
walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop,"₹12,990",3.8
HP ENVY Intel Core Ultra 5 125U - (16 GB/512 GB SSD/Windows 11 Home) 14-fc0078TU Thin and Light Laptop,"₹1,05,990",N/A
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹16,990",3.7
HP 255 G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Notebook No...,"₹25,990",4.1
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312W Thin ...,"₹28,990",4.3
Acer Predator Neo (2023) Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphic...,"₹1,12,990",4.5
Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light...,"₹43,990",4
MSI GF63 Intel Core i5 11th Gen 11260H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹52,990",4.3
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"₹44,990",4.2
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,4.2
N/A,N/A,N/A
